acdc_name,RV,Myo,LV
patient042_frame16,0.3173326631481947,0.005333333333333333,0.0
patient043_frame07,0.0,0.09066382440129234,0.0
patient044_frame11,0.14973861090365945,0.0,0.0
patient045_frame13,0.0,0.009577082803627426,0.0
patient046_frame10,0.6937474005268266,0.6751095372426625,0.8299441340782123
patient047_frame09,0.04468412942989214,0.0,0.0
patient048_frame08,0.1998551774076756,0.5754658768357398,0.8058761804826863
patient049_frame11,0.0,0.04890145315677231,0.0
patient050_frame12,0.363831308077198,0.24888977595928347,0.6414405303668745
patient051_frame11,0.26311254711900917,0.0,0.0
patient052_frame09,0.0,0.6298760205624433,0.7307363536451337
patient053_frame12,0.0,0.5745885801852222,0.8768249706326565
patient054_frame12,0.09626658438753471,0.1528437121846784,0.6523499815928335
patient055_frame10,0.7381150959132611,0.21347167190882727,0.7805132666376685
patient056_frame12,0.0,0.49572445135442206,0.7810431559438707
patient057_frame09,0.0,0.0,0.0
patient058_frame14,0.6226725082146769,0.17758634970595544,0.6046846846846847
patient059_frame09,0.5542328042328042,0.5786068578822514,0.7737082254285362
patient060_frame14,0.0,0.0,0.0
patient061_frame10,0.2716102608320759,0.0003307972213033411,0.0
patient062_frame09,0.42791586998087955,0.5420371511576724,0.8584680625496952
patient063_frame16,0.0,0.002977253781112302,0.0
patient064_frame12,0.4455211397588972,0.0,0.0
patient065_frame14,0.23493940289683712,0.01009009009009009,0.0
patient066_frame11,0.2771791502409111,0.0,0.0
patient067_frame10,0.4680768672249383,0.0,0.0
patient068_frame12,0.33635187580853815,0.0,0.0
patient069_frame12,0.0,0.0,0.0
patient070_frame10,0.0,0.7757157243562077,0.8155268022181146
patient071_frame09,0.1363980325387817,0.0,0.0
patient072_frame11,0.002948765204570586,0.0,0.0
patient073_frame10,0.0,0.12320659971305595,0.0
patient074_frame12,0.16229423082796324,0.0,0.0
patient075_frame06,0.0,0.0,0.0
patient076_frame12,0.15826942466925356,0.0,0.0
patient077_frame09,0.40976377952755905,0.5417056074766355,0.41404580152671755
patient078_frame09,0.6556119571347998,0.5727395184374474,0.7569491525423728
patient079_frame11,0.23495955977397792,0.0,0.0
patient080_frame10,0.4315659679408138,0.0,0.0
patient081_frame07,0.21860162248690887,0.0003272251308900524,0.0
patient082_frame07,0.0,0.0,0.0
patient083_frame08,0.0,0.6035911602209945,0.7436823104693141
patient084_frame10,0.0,0.0,0.0
patient085_frame09,0.6642497996065,0.005740406080578293,0.0
patient086_frame08,0.5953674362456617,0.610608020698577,0.7372233400402415
patient087_frame10,0.3729788983283091,0.5174216879245468,0.7062946138870863
patient088_frame12,0.0,0.0,0.0
patient089_frame10,0.0,0.6803191489361702,0.8585741811175337
patient090_frame11,0.5034491907667816,0.0,0.0
patient091_frame09,0.49500998003992014,0.0016488046166529267,0.0
patient092_frame06,0.3863556953179595,0.002652519893899204,0.0
patient093_frame14,0.39268435713238525,0.0,0.0
patient094_frame07,0.0,0.0,0.0
patient095_frame12,0.5727490488938989,0.0,0.0
patient096_frame08,0.595513854273567,0.0,0.0
patient097_frame11,0.402191894127378,0.0,0.0
patient098_frame09,0.0,0.5925185786548429,0.8575337111588821
patient099_frame09,0.0,0.0,0.0
patient100_frame13,0.7060478199718706,0.6231454005934718,0.8346268656716418
patient101_frame14,0.23725239971147977,0.019908421262193908,0.0
patient102_frame13,0.0,0.0,0.0
patient103_frame11,0.1316547530139763,0.0,0.0
patient104_frame11,0.0,0.0,0.0
patient105_frame10,0.0,0.14266092848640236,0.0
patient106_frame13,0.5032249484673184,0.38566103924577944,0.8560388387991678
patient107_frame10,0.20249695493300854,0.0,0.0
patient108_frame09,0.0,0.0,0.0
patient109_frame10,0.5520369736391647,0.647975776606482,0.7308810949529513
patient110_frame11,0.0,0.0,0.0
patient111_frame07,0.08462178365508735,0.7570093457943925,0.8055744391570361
patient112_frame12,0.2274073538972766,0.12461222528072705,0.0
patient113_frame08,0.0,0.5723952864309882,0.8270484313128237
patient114_frame11,0.0023167075497410737,0.0030425963488843813,0.0
patient115_frame13,0.6773558368495077,0.5830754742365128,0.7490174059517125
patient116_frame09,0.0,0.0,0.0
patient117_frame13,0.0,0.0,0.0
